item,status,evidence,remainingRequirement
expanded-lda-history,api_attribution_identity_unresolved,"issueRows=1119; filingUUIDs=427; actors=6; years=2003,2004,2005,2006,2007,2008; observedPrePeriodsByActor=cand-372cc95f9387:9;cand-5d1da86118e5:9;cand-9948f2974958:9;cand-b905d6833296:9;cand-d5522e62fad7:9;cand-f7178708cc78:9","Counts reflect source/API attribution, not validated actor histories. Review of the 21 frozen NVG records finds six America Votes filings ineligible for AAJ attribution, including one registration. Five mixed-client groups are not mergeable; two cover years disagree with API years. Validate complete histories, amendments and exact identities; pre-period counts are native reporting periods, not independent quarters or proof of completeness."
lda-posting-date-anomaly,source_reviewed_dates_not_orderable,postingBeforeCoveredPeriod=3; reviewedEmbeddedCovers=3; receiptDatesAfterPeriod=3; registrationComponentMatches=3; differentRegistrantNames=2; reviewedExpenseMethods={'A': 2}; censoredIncomeDisclosures=1; sourceMissingTerminationDates=1; correctedApiPostingDates=0; amendmentOrderingCleared=False; controlAssignmentCleared=False; causalEffect=not_identified,"All three flagged covers now have full embedded-scan reviews and source-matched registration components. Receipt stamps, API posting dates and termination dates remain different fields. Two covers supply Method A observations; one income disclosure is below $10,000, not a point zero. Resolve source-date origins and complete filing/version families before ordering amendments, aggregating actor amounts or selecting comparable controls. Other dates and zeros are not cleared by this selected review; independent review remains pending."
lda-measurement-comparability,source_measures_not_comparable_totals,"filings=427; amountKinds={'income': 267, 'neither': 71, 'expenses': 89}; expenseMethodMissing=63; sourceZeroFilings=25; incomeExpenseOverlapActorPeriods=74; aliasFilings=15; reviewedForms=2; reviewedExpenseMethods={'C': 1, 'A': 1}","Do not add organizational expenses to retained-firm income. Missing API accounting methods need original-form review; the reviewed Method A and Method C reports use different outcome definitions. Reviewed aliases restore only a specified registration, not exhaustive organization coverage. Null amounts remain blank. The separate date-review ledger codes one source zero as censored income; other source zeros remain unadjudicated. No actor spending total or matched control is validated by these checks."
lda-filing-family-review,partial_field_review_not_final_versions,sourceFilings=427; registrationRecordsExcluded=39; candidateGroups=364; multiRecordGroups=22; singletonAmendmentGroups=1; multiRecordFilings=46; groupsWithoutAmendmentLabel=10; groupsWithDifferentSourceAmounts=8; groupsWithPostingTies=3; groupsWithLatestMissingEarlierAmount=2; groupsWithNoActivityNonzero=1; sourceReviewedGroups=7; apgaQueriedApiFilings=2; nvgQueryReturnedFilings=14; identityApiFilingsChecked=2; apgaReviewedDistinctImages=5; reviewedDistinctImages=36; energyAgencyMismatches=2; initialIdentityReviewedCovers=2; initialDifferentClientCovers=1; initialRegistrationSuffixDiscrepancies=1; initialUnlabelledAmendedCovers=1; nvgHistoryReviewedFilings=21; nvgHistoryPdfCovers=17; nvgHistoryHtmlForms=4; nvgDifferentClientFilings=6; nvgDifferentClientActivityFilings=5; nvgMixedClientCandidateGroups=5; nvgSourceYearDisagreements=2; nvgSourceSenateIdDisagreements=6; nvgSourceSenateIdBlank=5; expenseFamiliesResolved=1; aajReviewedDistinctImages=14; aajOriginalApiActivityRows=7; aajAmendmentApiActivityRows=0; aajOriginalContactDiscrepancies=2; independentlyReviewedExpenseFamilies=0; finalVersionsSelected=0; causalEffect=not_identified,"The 22 multi-record groups are candidates, not complete historical families. APGA's partial amendment does not resolve its amount. Five NVG mixed-client groups are not mergeable. A separate AAJ 2005H1 review resolves one reported $4,020,000 Method A expense field using matching covers and an explicit unchanged-expense letter, not a sum of versions or selection of a whole final filing. All fourteen downloaded images were reviewed. The amendment API has no activity rows despite its TOR addendum; original INS/TAX pages name only the House while their API rows also name the Senate. Preserve source discrepancies, independent-review requirements and unchanged raw metadata. Historical identity/version coverage, actor-period aggregation, exposure and control selection remain unresolved."
coalition-disclosure-measurement,empty_affiliate_list_not_zero_disclosure,queryRows=8; exactClientRows=5; otherClientRowsExcluded=3; reviewedOwnRegistrantForms=2; emptyApiAffiliateListsInReviewedForms=2; distinctDisclosedWebpages=2; reviewedActorPeriods=1; historicalWebsiteContentsAcquired=0; exposureAssignments=0; independentReviewStatus=pending; causalEffect=not_identified,"Two NAM 2008Q1 versions outside the frozen cohort have empty API affiliate lists but distinct affiliation websites in original HTML line 25. The additions field is not a membership roster; the versions are one actor-period. This saved-ledger check is not raw-source authentication. Recover historical website contents, pre-reform funding/participation and prior disclosure evidence, then independently review comparable exposure groups. No exposure, financial-version selection or causal effect is promoted."
alternate-channel-reports,bounded_affiliation_candidate,"reportRows=229; committees=4; affiliationRows=12; affiliationCycles=2004,2006,2008; overlappingPeriods=56; gapsBetweenReports=1; halfYearStraddlingReports=0; missingOutcomeCells=56","Review historical sponsor links, form-specific measure definitions and report amendments. API amount formatting does not restore cents missing from source extraction. PAC availability does not establish comparable controls."
alternate-channel-coverage,partial_outcome_coverage,expectedCommitteeHalfYears=48; complete=36; unresolvedOrMissing=12; completeByCommittee=C00153171:0;C00340356:12;C00007450:12;C00024521:12,"Keep all declared acquisition-frame periods visible. Benefits Council version flags are reconciled through a source-bound reports/filings join; missing financial fields, scan/API amount differences and a header/itemized-date conflict remain. The raw-date gap is not evidence of absent activity. AAJ 2008H2 uses a source-bound supplemental-loan-paperwork adjudication; independent review remains pending. Missing periods are not zero spending."
alternate-channel-paper-review,versions_reconciled_financial_coverage_unresolved,"reportRowsMatched=24; filingInventoryRows=280; filingsLatestTrue=21; filingsLatestFalse=3; reportEndpointUnknownLatest=24; reviewedReportPdfs=7; nativeFormTypeDiscrepancies=3; packetsWithoutDisbursementSummary=3; reviewedBlankAmountFields=5; periodConflictReportIds=['file:220338']; transactionsAfterHeaderEnd=6; rawAmountsPromoted=0; datesCorrected=0; independentReviewStatus=pending; causalEffect=not_identified; halfYearReasons={'missing_outcome': 11, 'source_period_conflict;gap_or_overlap': 1}","The committee-only filings inventory supplies 21 true and three false latest flags for all 24 frozen Benefits Council reports; no amounts or dates are overwritten. Three original 2008 reports visibly use Form 3 despite API F3X classification; a May 15, 2009 letter requests Form 3X. Complete page inventories find no disbursement-summary page in the downloaded post-general original and both year-end packets. This does not prove which pages were originally filed. Full-packet 2006Q1 review finds two receipts and four disbursements after the March 1 header end, reconciling selected summary totals while preserving cents omitted by the API. A preceding May 2, 2006 notice requests the January 1-March 31 quarterly report; it does not certify the later filing's coverage. This is an internal date conflict, not evidence of absent March activity or authorization to correct the end date. Blank fields, missing pages and year-to-date values do not establish numeric period zeros. No additional complete half-year is recovered. Independently review the readings and recover missing financial evidence before promoting outcomes or selecting controls."
alternate-channel-halfyears,observed_outcome_not_effect,"completeHalfYears=36; includedReportVersions=152; sourceReviewedHalfYears=1; eventClasses={'pre': 27, 'straddles_event_excluded': 3, 'post': 6}","Latest non-amended reports or explicit source-bound version adjudications, with no unresolved alternative version. Compare with native LDA periods after actor linkage and exposure validation; period completeness is not exhaustive source-image or causal validation."
comment-corpus,source_refreshed,rows=500; uniqueBodies=145; emptyBodies=0,Verify receipt dates separately from posting dates and sample coverage before calculating docket-level rates.
comment-uptake-pilot,issue_level_only,"observations=2; individualCommentLinks=0; changes={'removed_ground': 1, 'retained_ground': 1}","Retrieve full response document, link actual comments and complete independent coding review; do not compute an uptake rate from this purposive pilot."
comment-public-copy-positions,policy_alignment_not_uptake,positionRows=2; publicLetters=1; candidateDocketSubmissions=1; alignedWithProposal=2; alignedWithFinalAction=2; changedActionsAtCodedScope=0; verifiedDocketVersionMatches=0; observedUptakeLinks=0,"Two positions belong to one purposefully selected public letter, not two independent comments. Verify the docket attachment version, trace agency responses and obtain independent review before coding uptake. Agreement with an unchanged proposed action does not identify comment influence or prove no effect."
comment-agency-reproduced-requests,documented_responses_not_causal_uptake,"requestRows=2; submissions=2; dockets=1; explicitNamedResponses=2; dispositions={'clarified_existing_scope': 1, 'disagreed_with_error_claim': 1}; originalAttachmentsRead=0; rateEligibleRequests=0; independentlyReviewedRequests=0; causalEffect=not_identified","Separate purposive Phase 3 pilot, not the Utah corpus. EPA reproduces request excerpts and explicitly names the two commenters in responses; original submitted attachments and their version match remain unread/unverified. Complete independent review and define a sampling frame before estimating response rates. A collective method change and a later publication correction do not identify an individual comment's effect."
comment-section-request-inventory,complete_section_excerpts_not_docket_population,"organizationBlocks=7; requestRows=11; coveredSectionPdfPages=6; priorPilotOverlap=2; responseLinks={'explicit_named_response': 3, 'section_resolution_only': 1, 'no_request_specific_disposition': 3, 'named_summary_collective_response': 4}; dispositions={'disagreed_with_error_claim': 1, 'inconsistent_with_described_resolution': 1, 'no_request_specific_disposition': 2, 'explained_comparability_limit': 1, 'clarified_existing_scope': 1, 'consistent_with_collective_revision': 4, 'conditional_fallback_not_separately_resolved': 1}; conditionalFallbacks=1; appendixCommentsNotReproduced=1011; appendixThemeIncidences=2533; docketRateEligibleRequests=0; independentlyReviewedRequests=0; causalEffect=not_identified","Retrospective six-page Phase 3 inventory: independently review request segmentation, repeated/grouped responses, opposing positions and conditional fallback. Two requests overlap the prior pilot and must not be counted again. No request-specific disposition within this section is not docket-wide nonresponse. Appendix A's 1,011 non-reproduced comments and 2,533 theme incidences are different units, not a control or nonresponse denominator. Original submissions and a docket sampling frame remain unresolved; no causal effect is identified."
comment-cross-section-followup,documented_partial_alignment_not_individual_effect,followupReviews=1; baselineRequests=11; newIndependentRequests=0; crossSectionResponseLinks=1; requestFacets=4; disposition=partial_alignment_with_interim_flexibility; proposalAlreadySolicitedOption=True; historicalFinalUseThroughModelYear=2032; docketRateEligibleRequests=0; independentlyReviewedFollowups=0; causalEffect=not_identified,"One targeted DTNA follow-up, not an additional request or expanded sample: section 10.3.2 supplies a named-summary/collective-response link, and the April 2024 clause confirms limited credit use through MY2032. The proposal already solicited the option. Preserve the original section-2.5 coding, distinguish caps from discounts, and independently review original-file identity and facet coding. No full acceptance, docket rate, individual effect or current regulatory-status claim is cleared."
