source,snapshotStatus,role,groupType,groupValue,rows,modifiedRows,initialRows,modifiedActionShare,distinctAwardCount,modifiedAwardCount,modifiedAwardShare,modificationRowsPerModifiedAward,amount,modifiedAmount,amountWeightedModificationShare,panelAmountShare,panelModifiedAmountShare,knownPiidShare,knownUeiShare,knownCompetitionShare,singleKnownOfferRows,priceOnlyRows,exclusionRows,protestRows,claimBoundary,statusNote
usaspending-procurement-actions,ok,primary bounded action panel,source,usaspending-procurement-actions,28104,11866,16238,0.4222,23809,8201,0.3444,1.4469,342227.9988,217121.2738,0.6344,1.0000,1.0000,1.0000,1.0000,0.0000,0,0,0,0,bounded USAspending transaction/action diagnostics; not representative SAM/FPDS modification calibration,normalized USAspending procurement action rows written after SAM fallback
usaspending-procurement-bulk-summary,copied,archived public transaction-history summary,source,usaspending-procurement-bulk-summary,6449101,1097429,5351672,0.1702,5740062,612402,0.1067,1.7920,774172.8475,460984.0616,0.5955,1.0000,1.0000,1.0000,1.0000,0.9983,707966,926331,665137,0,representative public USAspending transaction summary for configured agencies; raw CSV/ZIP archive required for full reproduction,78322c3babe1a2b69ed2cc88a1c306f3344e97de96e2d8a81f8c4f4277dcee5b
usaspending-procurement-bulk-summary,derived,agency composition,agency,Department of Defense,,,,,,,,,,279320.0515,,,0.6059,,,,,,,,top modified-amount group from archived USAspending bulk summary,
usaspending-procurement-bulk-summary,derived,agency composition,agency,Department of Energy,,,,,,,,,,51613.9429,,,0.1120,,,,,,,,top modified-amount group from archived USAspending bulk summary,
usaspending-procurement-bulk-summary,derived,agency composition,agency,Department of Health and Human Services,,,,,,,,,,31932.6093,,,0.0693,,,,,,,,top modified-amount group from archived USAspending bulk summary,
usaspending-procurement-bulk-summary,derived,agency composition,agency,General Services Administration,,,,,,,,,,20595.6935,,,0.0447,,,,,,,,top modified-amount group from archived USAspending bulk summary,
usaspending-procurement-bulk-summary,derived,agency composition,agency,National Aeronautics and Space Administration,,,,,,,,,,19680.0944,,,0.0427,,,,,,,,top modified-amount group from archived USAspending bulk summary,
usaspending-procurement-bulk-summary,derived,agency composition,agency,Department of Veterans Affairs,,,,,,,,,,19443.9463,,,0.0422,,,,,,,,top modified-amount group from archived USAspending bulk summary,
usaspending-procurement-bulk-summary,derived,agency composition,agency,Department of Homeland Security,,,,,,,,,,18586.2125,,,0.0403,,,,,,,,top modified-amount group from archived USAspending bulk summary,
usaspending-procurement-bulk-summary,derived,agency composition,agency,Department of Transportation,,,,,,,,,,7055.6424,,,0.0153,,,,,,,,top modified-amount group from archived USAspending bulk summary,
