riskId,reviewerConcern,status,evidence,currentResponse,claimBoundary,nextAction
overall-reviewer-risk-posture,Does the bundle have a coherent review posture?,bounded_for_mechanism_review,submission=ready_for_mechanism_review; mechanism=cleared; empiricalBridge=bounded; calibratedPolicy=blocked; finalHumanReadthrough=manual_required,"The package is positioned for mechanism-model review, with final journal submission and calibrated policy-effect claims separated.","Review-bundle readiness is not the same as DOI deposition, human signoff, or calibrated policy simulation.",Complete final human read-through and DOI/archive steps before external journal submission; keep calibrated policy claims out of scope until causal targets clear.
self-confirming-substitution-result,Does the simulator simply find substitution because substitution was hard-coded?,mitigated,mechanism comparison report is generated; mechanism readiness=cleared; substitution-elasticity target=open_design_needed,"The model-mode comparison isolates substitution by holding the reform family constant across visible-scalar, multi-channel/no-substitution, and substitution-enabled modes.","The result is a mechanism diagnostic under explicit assumptions, not an empirical discovery of real-world substitution elasticity.","Build a cross-source event panel around one reform shock and track visible, intermediary, dark-money, comment, and procurement channels by actor and issue."
composite-diagnostic-construct-validity,Is total influence distortion an overloaded or double-counted composite?,mitigated,policy-language overclaim hits=0; validation statuses=fit=337; not_applicable=21; composite weights and diagnostic variants are generated in manuscript tables,"The manuscript treats total distortion and design loss as transparent grouped diagnostics, with raw component reports and alternate weighting variants retained.","Composite values support within-model sensitivity and portfolio screening, not welfare estimation or independent causal decomposition.",Keep reporting component diagnostics with the composite and calibrate weights only after external outcome and burden evidence is available.
empirical-bridge-hidden-channel-support,"Are hidden donor, dark-money, and intermediary channels empirically constrained enough?",bounded,claim dependencies=bounded=5; cleared=4; not_cleared=1; direct-dark-money capability=active-usable; hidden-donor target=bounded_proxy_only,"Direct/proxy dark-money and nonprofit-routing rows constrain mechanism diagnostics, while the claim-source dependency audit blocks representative hidden-channel magnitude claims.","Hidden-channel rows are a bounded plausibility scaffold, not a representative donor-routing panel.",Broaden nonprofit-routing rows beyond the top-EIN slice and add donor-linkage or beneficial-owner coverage where public sources permit.
procurement-modification-causal-validity,Does the procurement bridge support claims about capture through contract modifications?,open_calibration,SAM capability=implemented-not-active; SAM snapshot=unavailable; USAspending action rows=28104; procurement target=denominator_mapped_not_causal; refresh status=unavailable; acquisition products=5,"The project separates denominator-mapped USAspending action diagnostics from SAM/FPDS action-history promotion and now maps the missing protest, exclusion, offer-count, and firewall overlays to official acquisition paths.","Procurement modification results are bounded diagnostics until SAM/FPDS coding, offer counts, protests, exclusions, firewall indicators, and exposure designs clear.","Use reports/first-wave-procurement-source-acquisition.md to populate the SAM/FPDS action-history crosswalk, GAO protest overlay, SAM exclusion overlay, offer-count/competition enrichment, and procurement-firewall overlay; then rerun first-wave source-product, source-readiness, and paper-artifacts gates."
agent-based-institutional-depth,Is the model agent-based enough on the institutional side?,bounded,"lobby organizations and funders are the primary adaptive actors; institutional behavior is represented through arenas, susceptibility, enforcement, and reform controls",The paper states the model is influence-supply-side centered and uses institutional arenas as structured response surfaces.,The model should not be represented as a rich official-level behavioral simulation.,"Add heterogeneous regulator, candidate, procurement-official, and enforcement-agency decision rules only after the influence-channel mechanism remains stable."
result-generalizability,Are stress-test results being generalized beyond the scenario and source scope?,bounded,panel statuses=usable=11; support levels=conditional-direct=1; denominator-bounded=2; direct-bounded=4; direct-proxy-bounded=1; program-bounded=1; proxy-bounded=1; proxy-thin=1; bounded dependencies=5; not-cleared dependencies=1,Scenario reports are interpreted as mechanism stress tests and are paired with source-panel and claim-dependency limits.,"The current empirical bridge supports distributional anchors and gap diagnostics, not population-level reform-effect estimates.",Broaden source panels and clear causal targets before generalizing scenario rankings or hidden-channel magnitudes.
policy-ranking-overinterpretation,Do portfolio screens read as policy recommendations?,mitigated,policy-language overclaim hits=0; calibrated policy gate=blocked; calibrated-policy submission gate=blocked,The portfolio screen is framed as a design diagnostic under stated weights rather than a definitive reform ranking.,No portfolio row should be read as an estimated real-world policy effect.,"Keep policy language tied to diagnostic tradeoffs, and rerun the language audit after any manuscript rewrite."
reproducibility-package-integrity,Can reviewers reproduce and inspect the package evidence?,mitigated,"reproducible bundle=ready; Wiley package, DOI package, archive handoff, and package manifest are checked by paper-artifacts gate","The generated ZIP and DOI handoff contain report data, checksums, citation metadata, and supporting information for review.",A reproducible review bundle does not by itself imply DOI publication or journal final-submission signoff.,Attach the release asset checksums to the DOI workflow and complete the final human read-through before submission.
journal-finalization,Are final submission steps complete?,manual_required,final-journal-submission=manual_required; finalHumanReadthrough=manual_required; overallSubmission=ready_for_mechanism_review,The paper bundle is prepared for mechanism-review circulation but records final human signoff and DOI/archive deposition as separate gates.,Do not describe the package as fully submitted or DOI-archived until those external steps are complete and recorded.,"Mint or record a DOI archive, such as Zenodo or OSF; complete and sign off a human scholarly read-through in reports/final-human-readthrough.md"
