generatedAt,releaseTag,releaseDate,diagnosticFamily,diagnosticId,label,status,gateResult,outcome,estimator,preWindow,postWindow,estimate,estimateExpPercent,lower95,upper95,treatedActors,controlActors,observations,evidence,interpretation,claimBoundary,nextAction
2026-06-19T00:00:00Z,paper-publication-readiness-2026-06-19-r208,2026-06-19,data_quality,lda_issue_row_deduplication,LDA issue-row amount duplication,resolved_for_diagnostic,pass,,,,,,,,,8,25,231,inputRows=602; uniqueFilingUuids=239; issueRowsCollapsed=363; conflictingFilings=0,Repeated issue rows no longer multiply filing amounts.,"Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization.",Retain filing-UUID collapse in every estimator.
2026-06-19T00:00:00Z,paper-publication-readiness-2026-06-19-r208,2026-06-19,data_quality,lda_revision_deduplication,LDA amendments and registration filings,resolved_for_diagnostic,pass,,,,,,,,,8,25,231,registrationFilingsExcluded=23; revisedGroups=17; supersededFilingsExcluded=19; selectedFilings=197,The latest observed filing revision is retained within each actor-client-registrant-period.,"Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization.",Validate filing-version rules against official LDA amendment semantics before claim-bearing use.
2026-06-19T00:00:00Z,paper-publication-readiness-2026-06-19-r208,2026-06-19,data_quality,colorado_repeated_receipt_key_deduplication,Colorado repeated receipt-key rows,diagnostic_rule_with_source_caveat,informational,,,,,,,,,8,25,231,inputRows=1105; repeatedReceiptRowsExcluded=9; receiptKeyGroups=9; reportMetadataConflictGroups=9; selectedTransactions=1096,"One row is retained for each client, lobbyist, registration, receipt-date, and amount key. Repeated keys differ in report-month metadata, so this is a diagnostic deduplication rule rather than verified source supersession.","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization.",Validate repeated receipt keys against Colorado reporting and amendment semantics before claim-bearing use.
2026-06-19T00:00:00Z,paper-publication-readiness-2026-06-19-r208,2026-06-19,data_quality,balanced_actor_quarter_panel,Balanced actor-quarter preparation,ready_for_diagnostic,pass,,,,,,,,,8,25,231,panelRows=264; treatedActors=8; controlActors=25; zeroTreatedActorQuarters=0; zeroControlActorQuarters=6,Every selected actor has eight quarter rows; absent transactions are represented as zero activity.,"Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization.",Distinguish true zero activity from missing reporting before inferential use.
2026-06-19T00:00:00Z,paper-publication-readiness-2026-06-19-r208,2026-06-19,design_gate,treatment_source_system_separation,Treatment is separable from source system,blocked,fail,,,,,,,,,8,25,231,treatedSources=Official LDA API; controlSources=Colorado Secretary of State lobbyist income data; sharedSources=none,"Treatment status is perfectly confounded with source and jurisdiction, so time-varying reporting changes are inseparable from the contrast.","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization.",Add unaffected federal LDA controls or another within-source comparison design.
2026-06-19T00:00:00Z,paper-publication-readiness-2026-06-19-r208,2026-06-19,design_gate,common_outcome_semantics,Treated and control outcomes share a measurement definition,blocked,fail,,,,,,,,,8,25,231,treatedOutcome=federal LDA reported lobbying amount; controlOutcome=Colorado state-lobbyist income transaction amount,Federal LDA reported amounts and Colorado lobbyist-income transactions are not the same outcome process.,"Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization.",Use the same filing or transaction definition on both sides of the comparison.
2026-06-19T00:00:00Z,paper-publication-readiness-2026-06-19-r208,2026-06-19,design_gate,actor_issue_unit_comparability,Actor-issue-quarter unit is estimable,blocked,fail,,,,,,,,,8,25,231,treatedIssueCodes=36; controlIssueCodes=7; sharedIssueCodes=0,"LDA issue codes and Colorado business/industry labels have no shared reviewed issue taxonomy, so the estimator falls back to actor-quarter.","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization.",Build and adjudicate a common substantive issue crosswalk before estimating actor-issue effects.
2026-06-19T00:00:00Z,paper-publication-readiness-2026-06-19-r208,2026-06-19,design_gate,clean_pre_period_depth,Clean pre-trend depth,blocked,fail,,,,,,,,,8,25,231,cleanPreQuarters=2; minimum=3; eventQuarter=2007Q3 excluded because it straddles 2007-09-14,Two clean quarters permit one pre-period contrast but not a credible trend-shape assessment.,"Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization.",Extend both groups backward by at least two years at a common quarterly grain.
2026-06-19T00:00:00Z,paper-publication-readiness-2026-06-19-r208,2026-06-19,design_gate,independent_clean_placebo_depth,Independent clean placebo-date depth,blocked,fail,,,,,,,,,8,25,231,independentCleanPlaceboDates=1; minimum=2; the only clean placebo is the same Q1-to-Q2 contrast used for the one-step pre-trend check,"The committed time window cannot supply multiple independent, uncontaminated placebo dates.","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization.",Add earlier same-source quarters before treating placebo evidence as a falsification gate.
2026-06-19T00:00:00Z,paper-publication-readiness-2026-06-19-r208,2026-06-19,estimate,primary_actor_quarter_did,Primary window,diagnostic_only,fail,log1p quarterly reported activity dollars,actor-level mean-change difference with actor bootstrap,2007Q1; 2007Q2,2007Q4; 2008Q1; 2008Q2; 2008Q3; 2008Q4,-0.289940,-25.17,-1.237307,0.343357,8,25,231,"bootstrapReps=10000; baseSeed=20070914; actorBootstrap95=[-1.237, 0.343]; treatedMeanChange=0.173; controlMeanChange=0.463",The descriptive differential log change is not distinguishable from zero in the actor bootstrap and remains source-confounded.,"Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization.",Treat this as a model diagnostic only; do not label it a HLOGA or substitution effect.
2026-06-19T00:00:00Z,paper-publication-readiness-2026-06-19-r208,2026-06-19,pretrend,single_interval_pretrend_check,Single clean pre-period change,not_testable_as_trend,fail,log1p quarterly reported activity dollars,actor-level mean-change difference with actor bootstrap,2007Q1,2007Q2,0.450966,56.98,-0.073216,1.380036,8,25,231,"Q1-to-Q2 differential=0.451; actorBootstrap95=[-0.073, 1.380]; only one clean pre interval is available",The pre-period contrast is opposite in sign to the primary estimate and cannot establish parallel trends.,"Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization.","Acquire at least three, preferably eight or more, clean pre-treatment quarters in both groups."
2026-06-19T00:00:00Z,paper-publication-readiness-2026-06-19-r208,2026-06-19,placebo,clean_pre_hloga_2007q2_placebo,Clean pre-HLOGA 2007Q2 placebo,does_not_reassure,fail,log1p quarterly reported activity dollars,actor-level mean-change difference with actor bootstrap,2007Q1,2007Q2,0.450966,56.98,-0.073216,1.380036,8,25,231,"actorBootstrap95=[-0.073, 1.380]",The only clean placebo is large relative to the primary estimate and is not independent of the pre-trend check.,"Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization.",Do not treat this single placebo as causal validation; extend the clean pre-period.
2026-06-19T00:00:00Z,paper-publication-readiness-2026-06-19-r208,2026-06-19,placebo,post_treatment_2008q2_timing_placebo,Post-treatment 2008Q2 timing placebo,post_treatment_timing_sensitivity_only,informational,log1p quarterly reported activity dollars,actor-level mean-change difference with actor bootstrap,2007Q4; 2008Q1,2008Q2; 2008Q3,0.141151,15.16,-0.061077,0.322168,8,25,231,"actorBootstrap95=[-0.061, 0.322]",This shifted date occurs after the true HLOGA treatment and cannot function as a no-treatment placebo.,"Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization.",Use earlier uncontaminated placebo dates after extending the panel.
2026-06-19T00:00:00Z,paper-publication-readiness-2026-06-19-r208,2026-06-19,placebo,post_treatment_2008q3_timing_placebo,Post-treatment 2008Q3 timing placebo,post_treatment_timing_sensitivity_only,informational,log1p quarterly reported activity dollars,actor-level mean-change difference with actor bootstrap,2008Q1; 2008Q2,2008Q3; 2008Q4,0.140882,15.13,-0.283475,0.689286,8,25,231,"actorBootstrap95=[-0.283, 0.689]",This shifted date occurs after the true HLOGA treatment and cannot function as a no-treatment placebo.,"Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization.",Use earlier uncontaminated placebo dates after extending the panel.
2026-06-19T00:00:00Z,paper-publication-readiness-2026-06-19-r208,2026-06-19,window_sensitivity,balanced_two_quarter_window,Balanced two-quarter post window,direction_stable_diagnostic,informational,log1p quarterly reported activity dollars,actor-level mean-change difference with actor bootstrap,2007Q1; 2007Q2,2007Q4; 2008Q1,-0.434585,-35.25,-1.474144,0.306892,8,25,231,"actorBootstrap95=[-1.474, 0.307]; primaryEstimate=-0.290","The sign matches the primary diagnostic, but uncertainty and structural source confounding remain.","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization.",Re-run window sensitivity only after a comparable same-source design is available.
2026-06-19T00:00:00Z,paper-publication-readiness-2026-06-19-r208,2026-06-19,window_sensitivity,calendar_2008_post_window,Calendar 2008 post window,direction_stable_diagnostic,informational,log1p quarterly reported activity dollars,actor-level mean-change difference with actor bootstrap,2007Q1; 2007Q2,2008Q1; 2008Q2; 2008Q3; 2008Q4,-0.254171,-22.44,-1.192506,0.381902,8,25,231,"actorBootstrap95=[-1.193, 0.382]; primaryEstimate=-0.290","The sign matches the primary diagnostic, but uncertainty and structural source confounding remain.","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization.",Re-run window sensitivity only after a comparable same-source design is available.
2026-06-19T00:00:00Z,paper-publication-readiness-2026-06-19-r208,2026-06-19,window_sensitivity,late_2008_post_window,Late 2008 post window,direction_stable_diagnostic,informational,log1p quarterly reported activity dollars,actor-level mean-change difference with actor bootstrap,2007Q1; 2007Q2,2008Q3; 2008Q4,-0.183729,-16.78,-1.155481,0.462629,8,25,231,"actorBootstrap95=[-1.155, 0.463]; primaryEstimate=-0.290","The sign matches the primary diagnostic, but uncertainty and structural source confounding remain.","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization.",Re-run window sensitivity only after a comparable same-source design is available.
2026-06-19T00:00:00Z,paper-publication-readiness-2026-06-19-r208,2026-06-19,outlier_sensitivity,within_group_p95_winsorized,Within-group p95 winsorized,direction_stable_diagnostic,informational,log1p quarterly reported activity dollars,actor-level mean-change difference with actor bootstrap,2007Q1; 2007Q2,2007Q4; 2008Q1; 2008Q2; 2008Q3; 2008Q4,-0.279172,-24.36,-1.244875,0.348046,8,25,231,"relativeShiftFromPrimary=0.037; actorBootstrap95=[-1.245, 0.348]",Within-source-group p95 winsorization does not change the descriptive sign.,"Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization.",Retain actor-level and amount-distribution sensitivity checks in any successor design.
2026-06-19T00:00:00Z,paper-publication-readiness-2026-06-19-r208,2026-06-19,leave_one_actor,leave_one_actor_stability,Leave-one-actor stability,failed,fail,log1p quarterly reported activity dollars,leave-one-actor actor-level pre/post contrast,2007Q1; 2007Q2,2007Q4; 2008Q1; 2008Q2; 2008Q3; 2008Q4,-0.289940,-25.17,-0.343165,0.111013,8,25,231,omissions=33; signFlips=1; minimumEstimate=-0.343; maximumEstimate=0.111,At least one actor omission reverses the primary descriptive sign.,"Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization.",Increase the treated and comparison cohorts and pre-specify influence diagnostics for high-leverage actors.
2026-06-19T00:00:00Z,paper-publication-readiness-2026-06-19-r208,2026-06-19,overall,overall_effect_model_and_falsification_gate,Overall effect-model and falsification gate,effect_model_and_falsification_gates_not_cleared,fail,gate synthesis,pre-specified diagnostic gate conjunction,,,,,,,8,25,231,failedGates=actor_issue_unit_comparability; clean_pre_hloga_2007q2_placebo; clean_pre_period_depth; common_outcome_semantics; independent_clean_placebo_depth; leave_one_actor_stability; primary_actor_quarter_did; single_interval_pretrend_check; treatment_source_system_separation,"The current panel does not survive the effect-model and falsification gates. It can document preparation and descriptive instability, but it cannot estimate substitution or a causal HLOGA effect.","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization.","Build a longer within-LDA matched-control panel with observed alternate-channel outcomes, then rerun this packet."
