generatedAt,releaseTag,releaseDate,omittedActorId,omittedActorName,omittedGroup,fullEstimate,leaveOneEstimate,leaveOneEstimateExpPercent,shiftFromFull,signStable,status,claimBoundary,notes
2026-06-19T00:00:00Z,paper-publication-readiness-2026-06-19-r208,2026-06-19,cand-2baa779c041d,AMERICAN AMBULANCE ASSOCIATION,treated_hloga_lda_client,-0.289940,-0.296713,-25.67,-0.006774,yes,direction_stable,"Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization.",Leave-one-actor diagnostic only; the full design remains source-confounded.
2026-06-19T00:00:00Z,paper-publication-readiness-2026-06-19-r208,2026-06-19,cand-372cc95f9387,AMERICAN PUBLIC GAS ASSOCIATION,treated_hloga_lda_client,-0.289940,-0.271252,-23.76,0.018687,yes,direction_stable,"Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization.",Leave-one-actor diagnostic only; the full design remains source-confounded.
2026-06-19T00:00:00Z,paper-publication-readiness-2026-06-19-r208,2026-06-19,cand-5d1da86118e5,AMERICAN BENEFITS COUNCIL,treated_hloga_lda_client,-0.289940,-0.294952,-25.54,-0.005012,yes,direction_stable,"Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization.",Leave-one-actor diagnostic only; the full design remains source-confounded.
2026-06-19T00:00:00Z,paper-publication-readiness-2026-06-19-r208,2026-06-19,cand-9948f2974958,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION,treated_hloga_lda_client,-0.289940,-0.212794,-19.17,0.077146,yes,direction_stable,"Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization.",Leave-one-actor diagnostic only; the full design remains source-confounded.
2026-06-19T00:00:00Z,paper-publication-readiness-2026-06-19-r208,2026-06-19,cand-b905d6833296,American Petroleum Institute,treated_hloga_lda_client,-0.289940,-0.315679,-27.07,-0.025740,yes,direction_stable,"Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization.",Leave-one-actor diagnostic only; the full design remains source-confounded.
2026-06-19T00:00:00Z,paper-publication-readiness-2026-06-19-r208,2026-06-19,cand-c1ad13278d87,AMERICAN ASSOCIATION OF CROP INSURERS,treated_hloga_lda_client,-0.289940,-0.341671,-28.94,-0.051731,yes,direction_stable,"Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization.",Leave-one-actor diagnostic only; the full design remains source-confounded.
2026-06-19T00:00:00Z,paper-publication-readiness-2026-06-19-r208,2026-06-19,cand-d5522e62fad7,AMERICAN GAS ASSOCIATION,treated_hloga_lda_client,-0.289940,-0.343165,-29.05,-0.053226,yes,direction_stable,"Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization.",Leave-one-actor diagnostic only; the full design remains source-confounded.
2026-06-19T00:00:00Z,paper-publication-readiness-2026-06-19-r208,2026-06-19,cand-f7178708cc78,AMERICAN ASSOCIATION FOR JUSTICE,treated_hloga_lda_client,-0.289940,-0.243291,-21.60,0.046649,yes,direction_stable,"Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization.",Leave-one-actor diagnostic only; the full design remains source-confounded.
2026-06-19T00:00:00Z,paper-publication-readiness-2026-06-19-r208,2026-06-19,co-control-03d646106379,DENVER DEPARTMENT OF HUMAN SERVICES,control_unaffected_colorado_state_lobbying_jurisdiction,-0.289940,-0.310209,-26.67,-0.020269,yes,direction_stable,"Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization.",Leave-one-actor diagnostic only; the full design remains source-confounded.
2026-06-19T00:00:00Z,paper-publication-readiness-2026-06-19-r208,2026-06-19,co-control-09762b8d8e6c,COLORADO CONTRACTORS ASSOCIATION,control_unaffected_colorado_state_lobbying_jurisdiction,-0.289940,-0.285678,-24.85,0.004262,yes,direction_stable,"Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization.",Leave-one-actor diagnostic only; the full design remains source-confounded.
