canonicalActorId,committeeId,halfYear,periodStart,periodEnd,status,reasonCodes,rawReportCount,latestReportCount,eligibleReportCount,acceptedReportCount,missingRawOutcomeCells,unknownVersionRecordIds,sourceRecordIds,adjudicationIds,detail,claimBoundary
cand-5d1da86118e5,C00153171,2003H1,2003-01-01,2003-06-30,unresolved,missing_outcome,1,0,1,0,1,,image:23038131867,fec-benefits-filings-2026-09-13,"Missing FEC outcome is not an observed zero Version flags reconciled from the source-bound filings endpoint; raw report flags, dates and amounts are unchanged. Financial-source validation remains separate.",Acquisition-frame coverage only; unresolved outcomes are not zeros; no treatment/control assignment or causal effect.
cand-5d1da86118e5,C00153171,2003H2,2003-07-01,2003-12-31,unresolved,missing_outcome,1,0,1,0,1,,image:24038283814,fec-benefits-filings-2026-09-13,"Missing FEC outcome is not an observed zero Version flags reconciled from the source-bound filings endpoint; raw report flags, dates and amounts are unchanged. Financial-source validation remains separate.",Acquisition-frame coverage only; unresolved outcomes are not zeros; no treatment/control assignment or causal effect.
cand-5d1da86118e5,C00153171,2004H1,2004-01-01,2004-06-30,unresolved,missing_outcome,2,0,2,0,3,,image:24038353947;image:24038452746,fec-benefits-filings-2026-09-13,"Missing FEC outcome is not an observed zero Version flags reconciled from the source-bound filings endpoint; raw report flags, dates and amounts are unchanged. Financial-source validation remains separate.",Acquisition-frame coverage only; unresolved outcomes are not zeros; no treatment/control assignment or causal effect.
cand-5d1da86118e5,C00153171,2004H2,2004-07-01,2004-12-31,unresolved,missing_outcome,3,0,3,0,6,,image:24038532740;image:24038652677;image:25038684291,fec-benefits-filings-2026-09-13,"Missing FEC outcome is not an observed zero Version flags reconciled from the source-bound filings endpoint; raw report flags, dates and amounts are unchanged. Financial-source validation remains separate.",Acquisition-frame coverage only; unresolved outcomes are not zeros; no treatment/control assignment or causal effect.
cand-5d1da86118e5,C00153171,2005H1,2005-01-01,2005-06-30,unresolved,missing_outcome,1,0,1,0,1,,image:25038861771,fec-benefits-filings-2026-09-13,"Missing FEC outcome is not an observed zero Version flags reconciled from the source-bound filings endpoint; raw report flags, dates and amounts are unchanged. Financial-source validation remains separate.",Acquisition-frame coverage only; unresolved outcomes are not zeros; no treatment/control assignment or causal effect.
cand-5d1da86118e5,C00153171,2005H2,2005-07-01,2005-12-31,unresolved,missing_outcome,1,0,1,0,1,,file:201465,fec-benefits-filings-2026-09-13,"Missing FEC outcome is not an observed zero Version flags reconciled from the source-bound filings endpoint; raw report flags, dates and amounts are unchanged. Financial-source validation remains separate.",Acquisition-frame coverage only; unresolved outcomes are not zeros; no treatment/control assignment or causal effect.
cand-5d1da86118e5,C00153171,2006H1,2006-01-01,2006-06-30,unresolved,source_period_conflict;gap_or_overlap,2,0,2,0,2,,file:220338;file:230053,fec-benefits-filings-2026-09-13,"Dated itemized transactions extend beyond the report header's end date. The raw-date gap is not evidence of absent activity; no corrected coverage end is established. Gap or overlap in selected FEC reports; no complete half-year Version flags reconciled from the source-bound filings endpoint; raw report flags, dates and amounts are unchanged. Financial-source validation remains separate.",Acquisition-frame coverage only; unresolved outcomes are not zeros; no treatment/control assignment or causal effect.
cand-5d1da86118e5,C00153171,2006H2,2006-07-01,2006-12-31,unresolved,missing_outcome,3,0,3,0,3,,file:250077;file:269452;file:276117,fec-benefits-filings-2026-09-13,"Missing FEC outcome is not an observed zero Version flags reconciled from the source-bound filings endpoint; raw report flags, dates and amounts are unchanged. Financial-source validation remains separate.",Acquisition-frame coverage only; unresolved outcomes are not zeros; no treatment/control assignment or causal effect.
cand-5d1da86118e5,C00153171,2007H1,2007-01-01,2007-06-30,unresolved,missing_outcome,1,0,1,0,1,,file:302596,fec-benefits-filings-2026-09-13,"Missing FEC outcome is not an observed zero Version flags reconciled from the source-bound filings endpoint; raw report flags, dates and amounts are unchanged. Financial-source validation remains separate.",Acquisition-frame coverage only; unresolved outcomes are not zeros; no treatment/control assignment or causal effect.
cand-5d1da86118e5,C00153171,2007H2,2007-07-01,2007-12-31,unresolved,missing_outcome,1,0,1,0,1,,file:326228,fec-benefits-filings-2026-09-13,"Missing FEC outcome is not an observed zero Version flags reconciled from the source-bound filings endpoint; raw report flags, dates and amounts are unchanged. Financial-source validation remains separate.",Acquisition-frame coverage only; unresolved outcomes are not zeros; no treatment/control assignment or causal effect.
cand-5d1da86118e5,C00153171,2008H1,2008-01-01,2008-06-30,unresolved,missing_outcome,2,0,2,0,3,,file:338369;file:357679,fec-benefits-filings-2026-09-13,"Missing FEC outcome is not an observed zero Version flags reconciled from the source-bound filings endpoint; raw report flags, dates and amounts are unchanged. Financial-source validation remains separate.",Acquisition-frame coverage only; unresolved outcomes are not zeros; no treatment/control assignment or causal effect.
cand-5d1da86118e5,C00153171,2008H2,2008-07-01,2008-12-31,unresolved,missing_outcome,6,0,3,0,15,,file:421241;file:421242;file:421243;image:28039861924;image:29039971791;image:29039981277,fec-benefits-filings-2026-09-13,"Missing FEC outcome is not an observed zero Version flags reconciled from the source-bound filings endpoint; raw report flags, dates and amounts are unchanged. Financial-source validation remains separate.",Acquisition-frame coverage only; unresolved outcomes are not zeros; no treatment/control assignment or causal effect.
cand-9948f2974958,C00340356,2003H1,2003-01-01,2003-06-30,observed_complete,,1,1,1,1,0,,file:91467,,Complete source-marked report coverage.,Acquisition-frame coverage only; unresolved outcomes are not zeros; no treatment/control assignment or causal effect.
cand-9948f2974958,C00340356,2003H2,2003-07-01,2003-12-31,observed_complete,,1,1,1,1,0,,file:106082,,Complete source-marked report coverage.,Acquisition-frame coverage only; unresolved outcomes are not zeros; no treatment/control assignment or causal effect.
cand-9948f2974958,C00340356,2004H1,2004-01-01,2004-06-30,observed_complete,,3,2,2,2,0,,file:113546;file:118052;file:125881,,Complete source-marked report coverage.,Acquisition-frame coverage only; unresolved outcomes are not zeros; no treatment/control assignment or causal effect.
cand-9948f2974958,C00340356,2004H2,2004-07-01,2004-12-31,observed_complete,,5,4,4,4,0,,file:138342;file:145221;file:152397;file:157582;file:421904,,Complete source-marked report coverage.,Acquisition-frame coverage only; unresolved outcomes are not zeros; no treatment/control assignment or causal effect.
cand-9948f2974958,C00340356,2005H1,2005-01-01,2005-06-30,observed_complete,,3,1,1,1,0,,file:181800;file:185534;file:431427,,Complete source-marked report coverage.,Acquisition-frame coverage only; unresolved outcomes are not zeros; no treatment/control assignment or causal effect.
cand-9948f2974958,C00340356,2005H2,2005-07-01,2005-12-31,observed_complete,,2,1,1,1,0,,file:197487;file:437044,,Complete source-marked report coverage.,Acquisition-frame coverage only; unresolved outcomes are not zeros; no treatment/control assignment or causal effect.
cand-9948f2974958,C00340356,2006H1,2006-01-01,2006-06-30,observed_complete,,9,2,2,2,3,,file:210717;file:217196;file:221568;file:227167;file:238488;file:244953;file:439424;file:471405;image:26039271288,,Complete source-marked report coverage.,Acquisition-frame coverage only; unresolved outcomes are not zeros; no treatment/control assignment or causal effect.
cand-9948f2974958,C00340356,2006H2,2006-07-01,2006-12-31,observed_complete,,15,4,4,4,0,,file:243424;file:256467;file:262549;file:266000;file:266002;file:266003;file:266035;file:273410;file:280674;file:280686;file:280687;file:471411;file:471414;file:471420;file:471425,,Complete source-marked report coverage.,Acquisition-frame coverage only; unresolved outcomes are not zeros; no treatment/control assignment or causal effect.
cand-9948f2974958,C00340356,2007H1,2007-01-01,2007-06-30,observed_complete,,1,1,1,1,0,,file:299068,,Complete source-marked report coverage.,Acquisition-frame coverage only; unresolved outcomes are not zeros; no treatment/control assignment or causal effect.
cand-9948f2974958,C00340356,2007H2,2007-07-01,2007-12-31,observed_complete,,1,1,1,1,0,,file:318695,,Complete source-marked report coverage.,Acquisition-frame coverage only; unresolved outcomes are not zeros; no treatment/control assignment or causal effect.
cand-9948f2974958,C00340356,2008H1,2008-01-01,2008-06-30,observed_complete,,3,3,3,3,0,,file:330376;file:341778;file:349764,,Complete source-marked report coverage.,Acquisition-frame coverage only; unresolved outcomes are not zeros; no treatment/control assignment or causal effect.
cand-9948f2974958,C00340356,2008H2,2008-07-01,2008-12-31,observed_complete,,5,5,5,5,0,,file:355655;file:368571;file:373740;file:388154;file:399891,,Complete source-marked report coverage.,Acquisition-frame coverage only; unresolved outcomes are not zeros; no treatment/control assignment or causal effect.
cand-d5522e62fad7,C00007450,2003H1,2003-01-01,2003-06-30,observed_complete,,6,6,6,6,0,,file:76092;file:78051;file:81112;file:84849;file:86834;file:89551,,Complete source-marked report coverage.,Acquisition-frame coverage only; unresolved outcomes are not zeros; no treatment/control assignment or causal effect.
cand-d5522e62fad7,C00007450,2003H2,2003-07-01,2003-12-31,observed_complete,,6,6,6,6,0,,file:101207;file:103390;file:93274;file:94904;file:96937;file:99728,,Complete source-marked report coverage.,Acquisition-frame coverage only; unresolved outcomes are not zeros; no treatment/control assignment or causal effect.
cand-d5522e62fad7,C00007450,2004H1,2004-01-01,2004-06-30,observed_complete,,8,6,6,6,0,,file:108052;file:111303;file:115863;file:119339;file:120029;file:120582;file:122079;file:125596,,Complete source-marked report coverage.,Acquisition-frame coverage only; unresolved outcomes are not zeros; no treatment/control assignment or causal effect.
cand-d5522e62fad7,C00007450,2004H2,2004-07-01,2004-12-31,observed_complete,,6,6,6,6,0,,file:131360;file:135063;file:137759;file:142528;file:152512;file:159012,,Complete source-marked report coverage.,Acquisition-frame coverage only; unresolved outcomes are not zeros; no treatment/control assignment or causal effect.
cand-d5522e62fad7,C00007450,2005H1,2005-01-01,2005-06-30,observed_complete,,6,6,6,6,0,,file:164772;file:167336;file:170376;file:173936;file:176299;file:179417,,Complete source-marked report coverage.,Acquisition-frame coverage only; unresolved outcomes are not zeros; no treatment/control assignment or causal effect.
cand-d5522e62fad7,C00007450,2005H2,2005-07-01,2005-12-31,observed_complete,,6,6,6,6,0,,file:184036;file:185999;file:189835;file:191500;file:193480;file:195858,,Complete source-marked report coverage.,Acquisition-frame coverage only; unresolved outcomes are not zeros; no treatment/control assignment or causal effect.
cand-d5522e62fad7,C00007450,2006H1,2006-01-01,2006-06-30,observed_complete,,6,6,6,6,0,,file:201515;file:206083;file:210134;file:216827;file:222326;file:228377,,Complete source-marked report coverage.,Acquisition-frame coverage only; unresolved outcomes are not zeros; no treatment/control assignment or causal effect.
cand-d5522e62fad7,C00007450,2006H2,2006-07-01,2006-12-31,observed_complete,,7,6,6,6,0,,file:233122;file:238477;file:245393;file:246360;file:249337;file:262365;file:269683,,Complete source-marked report coverage.,Acquisition-frame coverage only; unresolved outcomes are not zeros; no treatment/control assignment or causal effect.
cand-d5522e62fad7,C00007450,2007H1,2007-01-01,2007-06-30,observed_complete,,6,6,6,6,0,,file:277715;file:281356;file:284274;file:288733;file:290859;file:293477,,Complete source-marked report coverage.,Acquisition-frame coverage only; unresolved outcomes are not zeros; no treatment/control assignment or causal effect.
cand-d5522e62fad7,C00007450,2007H2,2007-07-01,2007-12-31,observed_complete,,6,6,6,6,0,,file:301541;file:303479;file:307701;file:311036;file:312853;file:320694,,Complete source-marked report coverage.,Acquisition-frame coverage only; unresolved outcomes are not zeros; no treatment/control assignment or causal effect.
