canonicalActorId,issueCode,periodStart,periodEnd,venue,activityType,activityMeasure,activityAmount,sourceSystem,sourceRecordId,exposureGroup,reformEventId,activityUnits,jurisdiction,matchConfidence,candidateOnly,candidateStatus,linkageEvidenceClass,reviewPriority,reviewPriorityScore,reviewRiskFlags,notes
cand-5745845f94a0,candidate-technology,2024-01-01,2024-06-30,opaque_nonprofit_or_dark_money,source,0.0338,0.0338,IRS/ProPublica dark-money bridge,133182027,comparison_candidate_unreviewed,hloga-2007-federal-lobbying-disclosure,normalized_candidate_activity,candidate_unreviewed,0.3500,true,candidate_unreviewed_not_estimation_ready,shared-source-identifier-overlap,P1-manual-review,0.8400,procurement-name-overlap-requires-UEI-review,"candidate-only automated name-overlap seed; not manually adjudicated; does not clear first-wave source-product, venue-shifting, or causal-calibration gates; candidate-pre-window periodization is a review scaffold, not observed pre/post substitution evidence; P1-manual-review review queue"
cand-5745845f94a0,candidate-technology,2024-07-01,2024-12-31,opaque_nonprofit_or_dark_money,source,0.0338,0.0338,IRS/ProPublica dark-money bridge,133182027,comparison_candidate_unreviewed,hloga-2007-federal-lobbying-disclosure,normalized_candidate_activity,candidate_unreviewed,0.3500,true,candidate_unreviewed_not_estimation_ready,shared-source-identifier-overlap,P1-manual-review,0.8400,procurement-name-overlap-requires-UEI-review,"candidate-only automated name-overlap seed; not manually adjudicated; does not clear first-wave source-product, venue-shifting, or causal-calibration gates; candidate-post-window periodization is a review scaffold, not observed pre/post substitution evidence; P1-manual-review review queue"
cand-5745845f94a0,candidate-technology,2024-01-01,2024-06-30,intermediary,organization,0.1013,0.1013,Intermediary bridge,133182027,comparison_candidate_unreviewed,hloga-2007-federal-lobbying-disclosure,normalized_candidate_activity,candidate_unreviewed,0.3500,true,candidate_unreviewed_not_estimation_ready,shared-source-identifier-overlap,P1-manual-review,0.8400,procurement-name-overlap-requires-UEI-review,"candidate-only automated name-overlap seed; not manually adjudicated; does not clear first-wave source-product, venue-shifting, or causal-calibration gates; candidate-pre-window periodization is a review scaffold, not observed pre/post substitution evidence; P1-manual-review review queue"
cand-5745845f94a0,candidate-technology,2024-07-01,2024-12-31,intermediary,organization,0.1013,0.1013,Intermediary bridge,133182027,comparison_candidate_unreviewed,hloga-2007-federal-lobbying-disclosure,normalized_candidate_activity,candidate_unreviewed,0.3500,true,candidate_unreviewed_not_estimation_ready,shared-source-identifier-overlap,P1-manual-review,0.8400,procurement-name-overlap-requires-UEI-review,"candidate-only automated name-overlap seed; not manually adjudicated; does not clear first-wave source-product, venue-shifting, or causal-calibration gates; candidate-post-window periodization is a review scaffold, not observed pre/post substitution evidence; P1-manual-review review queue"
cand-5745845f94a0,candidate-procurement,2024-01-01,2024-06-30,procurement,recipient,0.0111,0.0111,USAspending agency actions,693JJ321P000048|693JJ321P000048|LJ6FBY1LX2L3,comparison_candidate_unreviewed,hloga-2007-federal-lobbying-disclosure,normalized_candidate_activity,candidate_unreviewed,0.3500,true,candidate_unreviewed_not_estimation_ready,shared-source-identifier-overlap,P1-manual-review,0.8400,procurement-name-overlap-requires-UEI-review,"candidate-only automated name-overlap seed; not manually adjudicated; does not clear first-wave source-product, venue-shifting, or causal-calibration gates; candidate-pre-window periodization is a review scaffold, not observed pre/post substitution evidence; P1-manual-review review queue"
cand-5745845f94a0,candidate-procurement,2024-07-01,2024-12-31,procurement,recipient,0.0111,0.0111,USAspending agency actions,693JJ321P000048|693JJ321P000048|LJ6FBY1LX2L3,comparison_candidate_unreviewed,hloga-2007-federal-lobbying-disclosure,normalized_candidate_activity,candidate_unreviewed,0.3500,true,candidate_unreviewed_not_estimation_ready,shared-source-identifier-overlap,P1-manual-review,0.8400,procurement-name-overlap-requires-UEI-review,"candidate-only automated name-overlap seed; not manually adjudicated; does not clear first-wave source-product, venue-shifting, or causal-calibration gates; candidate-post-window periodization is a review scaffold, not observed pre/post substitution evidence; P1-manual-review review queue"
cand-5745845f94a0,candidate-procurement,2024-01-01,2024-06-30,procurement,recipient,0.0162,0.0162,USAspending agency actions,1333ND24PNB770039|1333ND24PNB770039|LJ6FBY1LX2L3,comparison_candidate_unreviewed,hloga-2007-federal-lobbying-disclosure,normalized_candidate_activity,candidate_unreviewed,0.3500,true,candidate_unreviewed_not_estimation_ready,shared-source-identifier-overlap,P1-manual-review,0.8400,procurement-name-overlap-requires-UEI-review,"candidate-only automated name-overlap seed; not manually adjudicated; does not clear first-wave source-product, venue-shifting, or causal-calibration gates; candidate-pre-window periodization is a review scaffold, not observed pre/post substitution evidence; P1-manual-review review queue"
cand-5745845f94a0,candidate-procurement,2024-07-01,2024-12-31,procurement,recipient,0.0162,0.0162,USAspending agency actions,1333ND24PNB770039|1333ND24PNB770039|LJ6FBY1LX2L3,comparison_candidate_unreviewed,hloga-2007-federal-lobbying-disclosure,normalized_candidate_activity,candidate_unreviewed,0.3500,true,candidate_unreviewed_not_estimation_ready,shared-source-identifier-overlap,P1-manual-review,0.8400,procurement-name-overlap-requires-UEI-review,"candidate-only automated name-overlap seed; not manually adjudicated; does not clear first-wave source-product, venue-shifting, or causal-calibration gates; candidate-post-window periodization is a review scaffold, not observed pre/post substitution evidence; P1-manual-review review queue"
cand-b873bf167c67,candidate-energy,2024-01-01,2024-06-30,opaque_nonprofit_or_dark_money,source,1.2390,1.2390,IRS/ProPublica dark-money bridge,208948868,comparison_candidate_unreviewed,hloga-2007-federal-lobbying-disclosure,normalized_candidate_activity,candidate_unreviewed,0.3500,true,candidate_unreviewed_not_estimation_ready,shared-source-identifier-overlap,P1-manual-review,0.7600,none,"candidate-only automated name-overlap seed; not manually adjudicated; does not clear first-wave source-product, venue-shifting, or causal-calibration gates; candidate-pre-window periodization is a review scaffold, not observed pre/post substitution evidence; P1-manual-review review queue"
cand-b873bf167c67,candidate-energy,2024-07-01,2024-12-31,opaque_nonprofit_or_dark_money,source,1.2390,1.2390,IRS/ProPublica dark-money bridge,208948868,comparison_candidate_unreviewed,hloga-2007-federal-lobbying-disclosure,normalized_candidate_activity,candidate_unreviewed,0.3500,true,candidate_unreviewed_not_estimation_ready,shared-source-identifier-overlap,P1-manual-review,0.7600,none,"candidate-only automated name-overlap seed; not manually adjudicated; does not clear first-wave source-product, venue-shifting, or causal-calibration gates; candidate-post-window periodization is a review scaffold, not observed pre/post substitution evidence; P1-manual-review review queue"
