canonicalActorId,committeeId,cycle,committeeName,affiliatedName,organizationType,sourceUrl,sourceRetrievedAt,linkStatus,claimBoundary
cand-5d1da86118e5,C00153171,2004,AMERICAN BENEFITS COUNCIL POLITICAL ACTION COMMITTEE,PRIVATE PENSION & WELFARE PLANS; ASS'N,Trade Association,https://www.fec.gov/data/committee/C00153171/?cycle=2004,2026-09-12T19:06:23+00:00,historical_affiliation_candidate,"Observed political-committee report-period amounts only; historical affiliation is a bounded actor-link candidate, not principal funding identity, treatment assignment, or evidence of causal channel substitution."
cand-5d1da86118e5,C00153171,2006,AMERICAN BENEFITS COUNCIL POLITICAL ACTION COMMITTEE,PRIVATE PENSION & WELFARE PLANS; ASS'N,Trade Association,https://www.fec.gov/data/committee/C00153171/?cycle=2006,2026-09-12T19:06:23+00:00,historical_affiliation_candidate,"Observed political-committee report-period amounts only; historical affiliation is a bounded actor-link candidate, not principal funding identity, treatment assignment, or evidence of causal channel substitution."
cand-5d1da86118e5,C00153171,2008,AMERICAN BENEFITS COUNCIL POLITICAL ACTION COMMITTEE,AMERICAN BENEFITS COUNCIL,Trade Association,https://www.fec.gov/data/committee/C00153171/?cycle=2008,2026-09-12T19:06:23+00:00,historical_affiliation_candidate,"Observed political-committee report-period amounts only; historical affiliation is a bounded actor-link candidate, not principal funding identity, treatment assignment, or evidence of causal channel substitution."
cand-9948f2974958,C00340356,2004,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION PAC (ADVAMED PAC),ADVANCED MECICAL TECHNOLOGY ASSOC,Trade Association,https://www.fec.gov/data/committee/C00340356/?cycle=2004,2026-09-12T19:06:23+00:00,historical_affiliation_candidate,"Observed political-committee report-period amounts only; historical affiliation is a bounded actor-link candidate, not principal funding identity, treatment assignment, or evidence of causal channel substitution."
cand-9948f2974958,C00340356,2006,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION POLOTICAL ACTION COMMITTEE,ADVANCED MECICAL TECHNOLOGY ASSOC,Trade Association,https://www.fec.gov/data/committee/C00340356/?cycle=2006,2026-09-12T19:06:23+00:00,historical_affiliation_candidate,"Observed political-committee report-period amounts only; historical affiliation is a bounded actor-link candidate, not principal funding identity, treatment assignment, or evidence of causal channel substitution."
cand-9948f2974958,C00340356,2008,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION POLOTICAL ACTION COMMITTEE,ADVANCED MECICAL TECHNOLOGY ASSOC,Trade Association,https://www.fec.gov/data/committee/C00340356/?cycle=2008,2026-09-12T19:06:23+00:00,historical_affiliation_candidate,"Observed political-committee report-period amounts only; historical affiliation is a bounded actor-link candidate, not principal funding identity, treatment assignment, or evidence of causal channel substitution."
cand-d5522e62fad7,C00007450,2004,AMERICAN GAS ASSOCIATION POLITICAL ACTION COMMITTEE; THE (GASPAC),GAS ASS'N; AMERICAN,Trade Association,https://www.fec.gov/data/committee/C00007450/?cycle=2004,2026-09-12T18:21:15+00:00,historical_affiliation_candidate,"Observed political-committee report-period amounts only; historical affiliation is a bounded actor-link candidate, not principal funding identity, treatment assignment, or evidence of causal channel substitution."
cand-d5522e62fad7,C00007450,2006,AMERICAN GAS ASSOCIATION POLITICAL ACTION COMMITTEE; THE (GASPAC),GAS ASS'N; AMERICAN,Trade Association,https://www.fec.gov/data/committee/C00007450/?cycle=2006,2026-09-12T18:21:15+00:00,historical_affiliation_candidate,"Observed political-committee report-period amounts only; historical affiliation is a bounded actor-link candidate, not principal funding identity, treatment assignment, or evidence of causal channel substitution."
cand-d5522e62fad7,C00007450,2008,AMERICAN GAS ASSOCIATION POLITICAL ACTION COMMITTEE; THE (GASPAC),GAS ASS'N; AMERICAN,Trade Association,https://www.fec.gov/data/committee/C00007450/?cycle=2008,2026-09-12T18:21:15+00:00,historical_affiliation_candidate,"Observed political-committee report-period amounts only; historical affiliation is a bounded actor-link candidate, not principal funding identity, treatment assignment, or evidence of causal channel substitution."
cand-f7178708cc78,C00024521,2004,ASSOCIATION OF TRIAL LAWYERS OF AMERICA POLITICAL ACTION COMMITTEE,CONSUMER ATTORNEYS FEDERAL POL COMMITT,Trade Association,https://www.fec.gov/data/committee/C00024521/?cycle=2004,2026-09-12T19:06:23+00:00,historical_affiliation_candidate,"Observed political-committee report-period amounts only; historical affiliation is a bounded actor-link candidate, not principal funding identity, treatment assignment, or evidence of causal channel substitution."
cand-f7178708cc78,C00024521,2006,AMERICAN ASSOCIATION FOR JUSTICE POLITICAL ACTION COMMITTEE (AAJ PAC),CONSUMER ATTORNEYS FEDERAL POL COMMITTEE,Trade Association,https://www.fec.gov/data/committee/C00024521/?cycle=2006,2026-09-12T19:06:23+00:00,historical_affiliation_candidate,"Observed political-committee report-period amounts only; historical affiliation is a bounded actor-link candidate, not principal funding identity, treatment assignment, or evidence of causal channel substitution."
cand-f7178708cc78,C00024521,2008,AMERICAN ASSOCIATION FOR JUSTICE POLITICAL ACTION COMMITTEE (AAJ PAC),AMERICAN ASSOCIATION FOR JUSTICE,Membership Organization,https://www.fec.gov/data/committee/C00024521/?cycle=2008,2026-09-12T19:06:23+00:00,historical_affiliation_candidate,"Observed political-committee report-period amounts only; historical affiliation is a bounded actor-link candidate, not principal funding identity, treatment assignment, or evidence of causal channel substitution."
